date,resting_heart_rate
2016-04-12,41
2016-04-13,43
2016-04-14,43
2016-04-15,39
2016-04-16,43
2016-04-17,40
2016-04-18,41
2016-04-19,42
2016-04-20,44
2016-04-21,42
2016-04-22,43
2016-04-23,40
2016-04-24,40
2016-04-25,43
2016-04-26,40
2016-04-27,38
2016-04-28,40
2016-04-29,42
2016-04-30,41
2016-05-01,39
2016-05-02,43
2016-05-03,42
2016-05-04,36
2016-05-05,42
2016-05-06,47
2016-05-07,41
2016-05-08,43
2016-05-09,44
2016-05-10,41
2016-05-11,40
2016-05-12,44
